prompt,completion
Que significa FTTH?,"Fiber To The Home. Es un término para designar un tipo de acceso de banda ancha sobre fibra óptica (tecnología FTTx). Es un despliegue de fibra que permite que la fibra llegue hasta el hogar, donde se conecta mediante el módem. Es una solución para proporcionar banda ancha con el propósito de soportar servicios como juegos en línea, televisión de alta definición, video bajo demanda, streaming, VoIP, entre otros. Está basada en la red óptica pasiva (PON). Hoy en día, se utiliza eficazmente FTTH o FTTP para solucionar el retardo que presentaban las antiguas redes PON. Es utilizada en todas las implementaciones FTTH actuales. Las redes de fibra hasta el hogar (FTTH) continúan teniendo una gran demanda. El costo por cliente FTTH GPON puede reducirse."
Que significa GPON?,"Gigabit Passive Optical Network. Es una tecnología moderna, eficaz y con gran potencial que busca ofrecer múltiples servicios a altas velocidades. Su estructura está basada en enlaces de fibra óptica y fue creada para remplazar las conexiones basadas en enlaces de cobre. Es una de las principales categorías de PON. Es una tecnología de acceso mediante fibra óptica con arquitectura punto a multipunto. Utiliza el algoritmo de asignación dinámica de ancho de banda (DBA). Fue aprobada en 2003 y 2004 por la ITU-T en las recomendaciones G.984.1, G.984.2, G.984.3, G.984.4 y G.984.5. Se utiliza para acceso a Internet, servicios de voz, datos, videovigilancia, TV digital, video bajo demanda, juegos en línea, telefonía IP, videoconferencias, entre otros. La conexión GPON se realiza mediante OLT, ONT/ONU y divisores ópticos. Brinda soluciones de bajo costo a través de divisores ópticos (Splitter). Puede alcanzar hasta 20 km y proporcionar servicio a hasta 64 usuarios finales. Utiliza datos ascendentes y descendentes mediante multiplexación por división de longitud de onda óptica (WDM). Es un conjunto de recomendaciones G.984x de la ITU-T. Su velocidad de descarga es de 2.4 Gbps y la velocidad de carga es de 1.2 Gbps. Permite conexiones de hasta 20 km entre OLT y ONT, una ventaja sobre las antiguas conexiones xDSL. No necesita equipo intermedio activo entre OLT y ONT. Reduce costos al permitir enviar muchos servicios (Voz, Datos, TV/Video) simultáneamente. Tiene administración remota del equipo del usuario (ONT). Es una ventaja al reducir el equipo, satisfacer áreas de alta densidad y soportar el servicio triple play. Su clara ventaja sobre Ethernet es que es punto a multipunto y ofrece velocidades descendentes más altas que EPON/GEPON. Ha tenido gran importancia al resolver problemas de demanda de ancho de banda y sustituir a EPON. Aumenta la calidad del servicio y simplifica el mantenimiento. Es inmune a ruidos electromagnéticos. Permite crecer a mayores tasas de transferencia. Es una solución práctica y eficiente para problemas de ancho de banda y calidad de servicio. Se considera segura gracias al método de encriptación AES. Permite evolucionar a XG-PON utilizando la misma infraestructura de fibra. Ha evolucionado en poco tiempo y sigue en desarrollo. Una tabla comparativa la lista con estándar ITU-T G.984.x, velocidades de transmisión de Descarga: 1244, 2488 Carga: 155, 622, 1244, 2488 Mbps, distancia máxima de 20km, modo de tráfico ATM, Ethernet, TDM, arquitectura simétrica y asimétrica, y seguridad AES. Su eficiencia de Carga es 94% y Descarga es 93%."
Que significa HFC?,Hybrid Fibre Coaxial. Se menciona como un tipo de cable que se utiliza para enlazar desde un nodo (FTTN) con la casa.
Que significa IEE?,Institute of Electrical and Electronics Engineers. Se menciona como la organización de la cual proviene el grupo EFM.
Que significa ISP?,Internet Service Provider. Se menciona en relación con el proveedor de internet.
Que significa ITU-T?,"International Telecommunication Union. Es una organización que inició trabajos en el estándar GPON en 2002. GPON es un conjunto de sus recomendaciones G.984.x. APON y BPON también están definidos en sus recomendaciones (G.983). La ITU-T está trabajando en la próxima generación de GPON (NG-PON1, NG-PON2)."
Que significa LED?,Light-Emitting Diode. Es mencionado como una fuente para generar luz y frecuencias infrarrojas que se transmiten por fibra óptica.
Que significa ODN?,"Optical Distribution Network. Se menciona que en XG-PON1, la ODN se hereda completamente de GPON, lo que implica que las fibras ópticas y divisores se pueden reutilizar. NG-PON2 apunta a soportar una alta división de usuarios para utilizar eficientemente el ancho de banda y reducir costos con la reducción del número de fibras necesarias para conectar en la central."
Que significa OLT?,"Optical Line Termination o Optical Line Terminal. Es el elemento activo situado en la central. De él parten las fibras ópticas hacia los usuarios. Agrega tráfico y lo encamina hacia los clientes, funcionando como router. La alimentación se encuentra en la central. Potencia la salida por puerto para cada usuario de 28dbm. La comunicación entre OLT y ONT es completamente pasiva. La distancia máxima entre OLT y ONT es de 20km. Utiliza longitud de onda de 1490nm para descarga y 1310nm para carga. En una red PON, establece comunicación punto-multipunto con los equipos en campo (ONT). Transmite los paquetes de datos en descarga en modo broadcast TDM. Indica al ONT cuándo debe emitir en el tráfico de carga para evitar colisiones y considera el tiempo de llegada de cada uno."
Que significa ONT?,"Optical Network Termination o Optical Node Terminal. También se le puede denominar ONU (Optical Network Unit). Es un elemento situado en la casa del usuario que sirve como punto final del proveedor de servicios y ofrece las interfaces a los usuarios. En una red PON, es un equipo en campo que se comunica con el OLT. En el tráfico de descarga, filtra los datos y se queda solo con los que van dirigidos a su usuario. Envía los paquetes de datos de carga en modo TDMA (Time División Múltiple Access)."
Que significa PON?,"Passive Optical Network. Es una arquitectura punto a multipunto que utiliza divisores ópticos no activos para permitir que una única fibra óptica sirva a múltiples puntos finales (clientes). Es un sistema de comunicaciones por fibra óptica en el que se establece una comunicación punto-multipunto entre un router central OLT y los equipos en campo ONT. La característica principal es que no tienen componentes que suministren energía eléctrica entre el punto de distribución y el punto final. Dividen la señal de los distintos usuarios a través de divisores ópticos pasivos. La red óptica pasiva (PON), que se utilizaba anteriormente, tenía problemas de retardo. La tecnología PON se ha mejorado drásticamente en los últimos años. EPON y GPON son las dos tecnologías que actualmente lideran el mercado dentro de la clasificación de redes PON. Se están definiendo mejoras en las redes PON para la próxima generación, como NG-PON1 y NG-PON2."
Que significa TDM?,Time Division Multiplexing o Multiplexación en el Dominio del Tiempo. Es una técnica para los sistemas de transmisiones digitales en donde el ancho de banda total de transmisión es asignado a cada canal durante un intervalo de tiempo. Los servicios para diferentes clientes se envían y reciben como paquetes en espacios de tiempo específicos. Se utiliza en redes punto a punto de larga distancia y también en las redes ópticas pasivas (PON) de FTTH. La multiplexación y demultiplexación se realiza en el equipo electrónico como el OLT y la ONU. GPON es capaz de transmitir tráfico TDM. Los paquetes en descarga en GPON son transmitidos desde el OLT en modo broadcast TDM. Los paquetes de carga en GPON son enviados por el ONT en modo TDMA (Time División Múltiple Access). NG-PON2 combina WDM y TDM. Una tabla comparativa muestra que GPON utiliza TDM como modo de tráfico.
Que significa WDM?,"Wavelength Division Multiplexing o Multiplexación por división de longitud. Es una técnica que permite transmitir múltiples frecuencias (o longitudes de onda) a través de la misma fibra simultáneamente. Esto se logra usando transmisores o transceptores ópticos sintonizados en longitudes de onda individuales y específicas para tener canales distintos y no superpuestos. Se pueden combinar diferentes longitudes de onda usando un multiplexor (MUX) y descifrar la señal combinada por un demultiplexor (DEMUX) en el extremo receptor. De esta manera, muchas señales diferentes pueden transmitirse a través de una sola fibra al mismo tiempo, aumentando la capacidad del cable. BPON trabaja por medio de la Multiplexación por longitud de onda (WDM). GPON utiliza datos ascendentes y descendentes mediante multiplexación por división de longitud de onda óptica (WDM). NG-PON2 combina la multiplexación por división de longitud de onda (WDM) y división de tiempo (TDM)."
Que significa Wi-Fi?,"es un tipo de nueva tecnología de acceso inalámbrico de banda ancha. Comparada con tecnologías inalámbricas convencionales, tiene mayor velocidad, mayor alcance y mejor seguridad. También se le llama Wireless Fidelity. Es ampliamente aplicada en la conexión móvil de redes domésticas y de pequeñas oficinas por su flexibilidad y movilidad. Se ha convertido en el estándar ""de facto"" para las aplicaciones WLAN."
Que significa WLAN?,"es una red inalámbrica en la que una serie de dispositivos (PCs, estaciones de trabajo, impresoras, servidores, etc.) se comunican entre sí en zonas geográficas limitadas sin necesidad de cables entre ellos. Su gran ventaja es que ofrece movilidad al usuario y requiere una instalación muy sencilla. Las redes WLAN cumplen con los estándares genéricos de las LAN cableadas (como IEEE 802.3), pero necesitan una normativa específica adicional que defina el uso de los recursos radioeléctricos. El estándar de facto para WLAN es IEEE 802.11(Wi-Fi)."
Que significa AP (Puntos de Acceso)?,"son componentes que permiten configurar una WLAN. Se les llama comúnmente access point o puente de red. Permiten enviar la información de la red cableada (por ejemplo, Ethernet) hacia los terminales de usuario/clientes. Actúan como un puente entre las redes locales cableadas tradicionales y las redes locales inalámbricas. En el modo Infraestructura, un AP se utiliza como estación central a la que acceden todos los clientes inalámbricos."
Que significa Terminales de Usuario (Clientes)?,"son componentes que permiten configurar una WLAN. Son dispositivos, como PCs, workstations, impresoras, servidores, etc., que se comunican entre sí. Están dotados de una Tarjeta Interfaz de Red (NIC) que incluye un transceptor radio y la antena. En una red Ad-Hoc, se les llama clientes inalámbricos."
Que significa Tarjeta Interfaz de Red (NIC)?,"es un componente de los terminales de usuario (clientes) en una WLAN. Incluye un transceptor radio y la antena. Son equivalentes a una tarjeta de red normal, pero sin cables. Las más comunes son en formato PCMCIA, PCI, CompactFlash, Smart Card y similares."
Que significa Red Ad-Hoc?,"es la topología de red de área local inalámbrica más simple. También se conoce como red punto a punto o red peer-to-peer. Consiste en un grupo de ordenadores con interfaces inalámbricas (clientes inalámbricos). Estos clientes comparten el mismo nombre de grupo de trabajo, identificador de conjunto de servicio extendido (ESSID) y contraseña. Cualquier dos sitios en la red pueden comunicarse directamente. Todos los nodos tienen el mismo estatus y pueden unirse o abandonar la red en cualquier momento. El daño de un nodo no afecta a toda la red, por lo que tiene una fuerte capacidad de supervivencia. En esta configuración, los ordenadores se comunican directamente sin usar un punto de acceso."
Que significa Red Infraestructura?,"es la forma típica de trabajar en una WLAN cuando se utilizan Puntos de Acceso (AP). También se conoce como la red con un centro. Consiste en uno o más APs inalámbricos y una serie de clientes inalámbricos. Un AP inalámbrico se utiliza como estación central. Todos los clientes inalámbricos acceden a la red a través del AP. Las redes en modo infraestructura son más eficaces que las redes Ad-Hoc, gestionando el envío de paquetes y mejorando la velocidad. El alcance de la red confinado por el entorno es relativamente pequeño. Su mayor desventaja es su pobre capacidad de supervivencia, ya que el daño de la estación central puede paralizar toda la red."
Que significa IEEE 802.11?,"es el primer estándar de WLAN, generado por el organismo IEEE en 1997. Permite dos variantes para la interfaz de aire: DS-SS (Direct Sequence Spread Spectrum) y FH-SS (Frequency Hopped Spread Spectrum). Su capacidad alcanzada es de 1/2 Mbps. Trabaja en la banda de frecuencia de 2.4 GHz con una modulación principal FHSS."
Que significa IEEE 802.11b?,"es uno de los estándares Wi-Fi de uso común. Es el criterio de red inalámbrica más antiguo y el estándar Wi-Fi más utilizado. Su ancho de banda máximo es de 11 Mbps. Cuando la señal es débil o hay interferencias, el ancho de banda se puede ajustar a 5.5Mbps, 2Mbps y 1Mbps, asegurando la estabilidad y fiabilidad de la red. Opera en la banda de frecuencia de 2.4GHz con una modulación principal DSSS. Lidera los desarrollos actuales de WLAN. Emplea solamente DS-SS y utiliza modulación CCK (Complimentary Code Keying) para alcanzar hasta 11 Mbps."
Que significa IEEE 802.11a?,"es un estándar Wi-Fi que tiene un rendimiento (throughput) mayor que IEEE 802.11b. Trabaja en la banda de frecuencia de 5.8GHz y tiene buena capacidad anti-interferencia. Su modulación principal es OFDM. Sin embargo, no es compatible con IEEE 802.11b y IEEE 802.11g. Además, su cobertura es relativamente pequeña (solo unos 30m en interiores). Por ello, aún se utiliza raramente entre los estándares Wi-Fi actuales. Es una evolución del 802.11b. Se conoce como WiFi 5."
Que significa IEEE 802.11g?,"es un estándar Wi-Fi aprobado en julio de 2003 por el grupo de trabajo IEEE. Fue desarrollado para resolver los problemas de incompatibilidad entre IEEE 802.11a y IEEE 802.11b. Puede ser compatible con IEEE 802.11b. Sus aplicaciones son más extensas que las de IEEE 802.11a. Opera en la banda de frecuencia de 2.4GHz con una modulación principal DSSS, permitiendo hasta 54 Mb/s. Permite interoperabilidad con 802.11b utilizando interfaz aire SS-DS y ofreciendo hasta 11 Mbps."
Que significa IEEE 802.11n?,"es el estándar Wi-Fi más reciente, aprobado en 2009 por IEEE. Tiene una velocidad de transmisión estándar de 300Mbps y hasta 600Mbps. Combina las tecnologías MIMO y OFDM, lo que mejora la calidad de la transmisión inalámbrica y aumenta enormemente la velocidad de transmisión. Opera en las bandas de frecuencia de 2.4GHz y 5.0GHz con una modulación principal MIMO-OFDM. Su radio de alcance puede ser de hasta unos 1000m."
Que significa Bandas de Frecuencia 2.4 GHz y 5 GHz (en el contexto de Wi-Fi)?,"son rangos de frecuencias utilizados por la tecnología Wi-Fi. La banda de 2.4 GHz es utilizada por estándares como IEEE 802.11, 802.11b, 802.11g y 802.11n. Es una banda compartida por WLAN y otras tecnologías (Bluetooth, HomeRF, microondas), lo que puede aumentar la posibilidad de congestión. La banda de 5 GHz es utilizada por IEEE 802.11a y 802.11n. Se decidió utilizarla para aplicaciones WLAN para aumentar el ancho de banda disponible y la capacidad de tráfico considerablemente."
Que significa Throughput?,"es el rendimiento de una red WLAN, equivalente al de una red Ethernet cableada. Es sensiblemente inferior a la velocidad máxima considerada para la tecnología. Esto se debe a que parte de la información transmitida se consume en cabeceras de radio o funciones de codificación de canal. La distancia entre el terminal y el AP o la existencia de interferencias pueden disminuir aún más la capacidad práctica transmitida. La capacidad se configura automáticamente para regularse en función de la calidad del enlace de radio."
Que significa Capa física (PHY)?,es una de las capas cuyos protocolos detallados son definidos por las normativas específicas de WLAN para regular la conexión vía radio. La capa física de los estándares IEEE 802.11 fue diseñada para cumplir con la regulación de radiofrecuencia del FCC (organismo federal de EE. UU.).
Que significa Capa de Control de Acceso al Medio (MAC)?,es una de las capas cuyos protocolos detallados son definidos por las normativas específicas de WLAN para regular la conexión vía radio. Los estándares IEEE 802.11 utilizan dos mecanismos de acceso posibles: CSMA/CA y RTS/CTS.
Que significa CSMA/CA?,"es Carrier Sense Multiple Access / Collision Avoidance. Es uno de los mecanismos de acceso utilizados por la capa MAC de los estándares IEEE 802.11. En este mecanismo, cada estación escucha a otros usuarios (Carrier Sense). Si el canal no está en uso, la estación está autorizada a transmitir (Collision Avoidance). Si está ocupado, cada estación espera hasta que la transmisión presente termine y luego entra en un procedimiento de ""random back"", lo que previene que múltiples estaciones intenten obtener el medio inmediatamente después de completarse la transmisión precedente."
Que significa RTS/CTS?,"es Request To Send / Clear To Send. Es un procedimiento opcional utilizado por la capa MAC de los estándares IEEE 802.11. En este procedimiento, el terminal que quiere transmitir debe enviar al Punto de Acceso una solicitud de envío (RTS) a la que el Punto de Acceso accede (CTS) a la transmisión."
Que significa Problema del nodo oculto?,"es un problema que se soluciona con el procedimiento RTS/CTS. Ocurre cuando dos transmisores separados no detectan las transmisiones de terminales distantes y los paquetes llegan degradados al punto de acceso. En este caso, el punto de acceso coordina el tráfico WLAN al ser el encargado de dar los permisos de transmisión."
Que significa Wireless Bridge?,"es un dispositivo diseñado para la interconexión entre redes ad-hoc con el fin de transmitir datos a larga distancia de forma inalámbrica (microondas). Se puede utilizar para conectar dos o más bandas de red separadas. Existen tres modos principales de red basados en puente inalámbrico: punto a punto, punto a multipunto y conexión por relé."
Que significa Seguridad (en el contexto de Wi-Fi)?,"es uno de los aspectos esenciales para la aceptación de las WLAN por usuarios empresariales o para aplicaciones públicas. Es uno de los problemas existentes en la tecnología Wi-Fi. Debido a que el proceso de transmisión de señal inalámbrica está completamente expuesto al aire, es más vulnerable a ser hackeado que las redes cableadas. Si no se aplican estrategias de seguridad adecuadas, la red enfrenta un mayor riesgo. El protocolo IEEE 802.11 provee seguridad mediante autentificación y cifrado."
Que significa Autentificación (en el contexto de seguridad Wi-Fi)?,"es uno de los atributos mediante los cuales el protocolo IEEE 802.11 provee seguridad. Consiste en verificar que una entidad (en este caso, un cliente terminal) es realmente quien dice ser. Siempre es un paso previo para autorizar a este cliente a comunicarse con otro o con el punto de acceso en el área de cobertura. Existen diferentes opciones, como ""Open System"" o ""Shared Key"" para redes ad-hoc, y un diálogo entre cliente y AP para el modo infraestructura. El estándar 802.1x es una base sólida para este mecanismo."
Que significa Cifrado ó criptografía (en el contexto de seguridad Wi-Fi)?,es uno de los atributos mediante los cuales el protocolo IEEE 802.11 provee seguridad. Los Puntos de Acceso (AP) IEEE 802.11 vienen equipados con capacidad de cifrar según el algoritmo WEP.
Que significa WEP?,"es Wired Equivalent Privacy. Es el algoritmo de cifrado con el que vienen equipados por defecto los Puntos de Acceso (AP) IEEE 802.11. También se utiliza como base del proceso de autentificación. Permite que la encriptación se ajuste a diferentes longitudes de clave (256, 128, 64 bits o deshabilitada). Aunque a mayor longitud de clave supuestamente la comunicación es más segura, se pierde rendimiento en la red. Las claves deben cambiarse frecuentemente."
Que significa IEEE 802.1x?,es un estándar que se emplea como base sólida del mecanismo de autentificación y autorización en la seguridad WLAN.
Que significa Roaming?,"es la capacidad de los terminales de moverse y ser conmutados entre diferentes APs dentro de una red LAN cuando las personas se mueven. Es uno de los problemas existentes en la tecnología Wi-Fi, especialmente el retardo que puede causar el método tradicional ""first cut then connect"" al conmutar (>300ms), lo que afecta el rendimiento de aplicaciones móviles. Los estándares mencionados hasta ahora permiten la conexión de terminales dentro de una misma sub-red IP. Para moverse sobre diferentes sub-redes IP, históricamente se requerían soluciones de un mismo fabricante. El estándar preliminar IEEE 802.11f define la intercomunicación entre Puntos de Acceso de distintos fabricantes, facilitando el roaming."
Que significa IEEE 802.11f?,"es un estándar preliminar (disponible en 2003) desarrollado por IEEE que define la intercomunicación entre Puntos de Acceso de distintos fabricantes. Esto facilita el roaming, permitiendo que los usuarios se muevan por una zona cubierta por APs de diferentes fabricantes. La norma define, entre otros temas, el registro de un Punto de Acceso dentro de una red y el intercambio de información cuando un usuario se mueve."
Que significa Hot Spot?,"son áreas donde se concentra un gran número de usuarios de alto tráfico, como aeropuertos, estaciones de ferrocarril, centros de congresos, cafeterías, tiendas, hoteles, campus universitarios, etc.. Las redes WLAN cubren estas áreas para ofrecer acceso a Internet. Requieren un elevado número de Puntos de Acceso y suelen tener importantes exigencias de seguridad, gestión de red y facilidades de facturación."
Que significa Wi-Fi Alliance (WECA)?,es una organización internacional sin ánimo de lucro creada en 1999. Certifica la interoperabilidad de productos de distintos fabricantes basados en la especificación 802.11. La certificación Wi-Fi® garantiza que productos de diferentes fabricantes son capaces de comunicarse entre sí.•
¿Qué significa HFC?,"Es una red de telecomunicaciones híbrida de fibra óptica y cable coaxial que permite la transmisión de video, voz y datos en banda ancha. Su inicio se marca en los años 90 con la introducción de la fibra óptica a las redes de CATV, reemplazando la red troncal de cable coaxial por fibra, mientras que la red de distribución se mantuvo con cable coaxial."
¿Qué significa DOCSIS?,"Significa Data Over Cable Service Interface Specification. Es un estándar internacional no comercial de Cable Labs que permite a los operadores de cable introducir el acceso a internet sobre las redes HFC. Se encarga de regular los patrones de las redes desde los CM del usuario hasta los CMTS. En Ecuador, las redes HFC desplegadas se acogen a este estándar por ser el principal referente de normas."
¿Qué significa EuroDOCSIS?,"Es el estándar DOCSIS aplicado en la televisión Europea, creado para que los operadores de cable europeos puedan hacer uso de DOCSIS y exista un adecuado desempeño de la red y para que los precios no se elevaran debido a problemas compatibilidad y estandarización."
¿Qué significa DVB-RCC?,Fue creada para proponer estándares para la televisión digital. Inicialmente fue creada para los Set Top Box y luego fue extendida para que exista compatibilidad entre cable módems y cabeceras con los Set-Top Box.
¿Qué significa OpenCable?,"Define una especificación hardware y software, creando una plataforma común para desarrollar servicios interactivos. Combina a DVB y a DOCSIS."
¿Qué significa Cabecera?,Es el inicio de la red HFC y es la responsable de procesar la información que se va a transmitir hacia los abonados.
¿Qué significa Red Troncal?,Es una red de fibra óptica encargada de repartir las señales generadas en la cabecera hacia la red de distribución y viceversa.
¿Qué significa Red de Distribución?,Es la encargada de distribuir las señales desde el nodo óptico terminal y culmina en un tap que es la interfaz entre la red de distribución y la red de acometida del abonado.
¿Qué significa Acometida?,"Es el último tramo de la red HFC, éste se conecta a la red de distribución en el tap y llegan hasta el domicilio de los usuarios."
¿Qué significa CM?,"CM se refiere al cable módem. Es el principal equipo terminal de la red HFC. Su función principal es transmitir paquetes IP de una forma transparente entre la cabecera y el suscriptor. Sus funciones incluyen captar o generar señales de radiofrecuencia, modular o demodular datos, generar/verificar la información de control de errores (FEC), encriptar y desencriptar la información, usar y respetar el protocolo MAC en el canal ascendente, y realizar gestión y control de tráfico."
¿Qué significa CMTS?,CMTS son los equipos en la cabecera con los que se comunican los CM del usuario. Actúan como transmisores y receptores en la comunicación de datos en las redes DOCSIS. Son parte del hardware de enrutamiento de banda ancha.
¿Qué significa Ruido?,"Son todas las señales que perturban la transmisión en los sistemas de comunicaciones, que disminuyen el rendimiento de los sistemas y sobre las cuales no se tiene un control completo. El canal de retorno es más propenso a interferencias de ruido debido a su rango de frecuencia."
¿Qué significa QPSK?,Es una técnica de modulación que tiene una mayor inmunidad contra el ruido y una alta seguridad de los datos. Se usa en el canal ascendente.
¿Qué significa QAM?,"Es una técnica de modulación que codifica los datos mediante un mapa de símbolo. Mientras el nivel de QAM aumenta, existe un incremento en la velocidad de transmisión de datos. Las técnicas de modulación usadas en el sentido ascendente (como 8, 16, 32, 64, 128 QAM) son más robustas que en el descendente (64 QAM y 256 QAM) debido a la mayor presencia de ruido en el canal de retorno."
¿Qué significa Canal DS?,Se refiere al canal descendente. Las frecuencias para este canal son de 54-860 MHz con canales de 6MHz; para internet se usan de 750-860 MHz. La modulación descendente es 256 QAM y 64 QAM.
¿Qué significa Canal US?,"Se refiere al canal ascendente. Las frecuencias para este canal son de 5-42 MHz con canales variables hasta de 6.4 MHz. La modulación ascendente principal es 64 QAM para tener transmisiones simétricas, aunque se han ingresado otras modulaciones como 8, 16, 32, 64, 128 QAM dependiendo del método de acceso."
¿Qué significa Agregación de canales?,"La unión de canales o agregación de canales es una metodología usada en DOCSIS 3.0 y 3.1 que mejora el rendimiento en la transmisión de datos de la red HFC. ""Agrupa"" canales de RF múltiples en un solo canal virtual ofreciendo más ancho de banda a un cable módem. Permite utilizar múltiples canales simultáneamente, tanto de upstream como de downstream, logrando transferencias de datos superiores a 120 Mbps en DOCSIS 3.0. La cantidad máxima de canales en un grupo de unión depende del ancho de banda disponible y restricciones del hardware; generalmente se permiten 4 y 8 canales."
¿Qué significa Capacidad del Canal?,Es la velocidad máxima a la que se pueden transmitir los datos en un canal de comunicación de forma fiable y así establecer la cantidad de información transmitida.
¿Qué significa Teorema de Shannon?,"Establece una ecuación para el cálculo de la capacidad del canal (C = B log₂(1 + S/N)). Especifica que si la velocidad de transmisión es menor que la capacidad, se puede tener un sistema con una muy baja tasa de error; por otro lado, se establece un límite, y cuando se supera la capacidad, la información transmitida deja de ser útil."
¿Qué significa SCDMA?,Es una técnica de multiplexación que se usa en las versiones DOCSIS 2.0 y 3.0.
¿Qué significa A-TDMA?,Es una técnica de multiplexación que se usa en las versiones DOCSIS 2.0 y 3.0.
¿Qué significa FEC?,"Significa Forward Error Correction. Es un algoritmo de comprobación y corrección de errores utilizado en la Capa Física de DOCSIS. En el canal UP se usa Reed Solomon (LPDC es más eficiente y se usa en DOCSIS 3.1), y en el canal DS se usa Trellis. También es una función del cable módem generar/verificar esta información."
¿Qué significa BPI/BPI+?,Se refiere a la Interfaz de Privacidad Básica. Es una medida de seguridad. DOCSIS 3.0 usa el Estándar de Cifrado Avanzado AES.
¿Qué significa Clonación de cable módem?,"Es uno de los problemas de seguridad de la red HFC, que puede ocurrir si se permite al usuario manipular el CM."
¿Qué significa Cortafuegos?,Es una medida de seguridad para la red que controla la comunicación para impedir los accesos no autorizados.
¿Qué significa Cifrado?,Es una medida de seguridad. Ocupa aproximadamente el 20% más ancho de banda que la información no cifrada.
¿Qué significa Gestión de claves?,Es una medida de seguridad donde las terminales multimedia cifran una comunicación negociando una clave.
